I
640 Version - Iran FIR custom airways (from AIP, generated)
IBSAL  30.108611   48.735000 UKNAR  29.927222   49.080556 1 030 600 G55
UKNAR  29.927222   49.080556 IBKUG  29.433611   50.004722 1 030 600 G55
IBKUG  29.433611   50.004722 KHG    29.263889   50.316667 1 030 600 G55
KHG    29.263889   50.316667 BUZ    28.951111   50.825833 1 030 600 G55
BUZ    28.951111   50.825833 VATOB  28.857222   51.276667 1 100 600 G55
VATOB  28.857222   51.276667 KATUR  28.944167   51.441389 1 120 600 G55
KATUR  28.944167   51.441389 TOTNO  29.181111   51.893333 1 130 600 G55
TOTNO  29.181111   51.893333 SYZ    29.540000   52.588611 1 130 600 G55
RAGET  33.513333   45.896667 ILM    33.578333   46.415278 1 130 600 G202
ILM    33.578333   46.415278 ALTET  33.535833   47.013056 1 130 600 G202
ALTET  33.535833   47.013056 MIPON  33.466944   47.895556 1 130 600 G202
MIPON  33.466944   47.895556 KRD    33.434167   48.291667 1 130 600 G202
KRD    33.434167   48.291667 GENUM  33.405833   48.450278 1 130 600 G202
GENUM  33.405833   48.450278 UKSIS  33.366389   48.667222 1 130 600 G202
UKSIS  33.366389   48.667222 NOTSA  33.295833   49.054167 1 160 600 G202
NOTSA  33.295833   49.054167 RASLA  33.200556   49.569167 1 160 600 G202
RASLA  33.200556   49.569167 UKITA  33.115833   50.011389 1 160 600 G202
UKITA  33.115833   50.011389 BOMID  32.984444   50.674722 1 160 600 G202
BOMID  32.984444   50.674722 IMRAG  32.861667   51.278611 1 160 600 G202
IMRAG  32.861667   51.278611 ISN    32.746944   51.827778 1 160 600 G202
ISN    32.746944   51.827778 PARUG  32.784444   52.496389 1 170 600 G202
PARUG  32.784444   52.496389 LABOT  32.810833   53.014722 1 170 600 G202
LABOT  32.810833   53.014722 ALNER  32.856667   54.033889 1 170 600 G202
ALNER  32.856667   54.033889 MITET  32.873889   54.480556 1 170 600 G202
MITET  32.873889   54.480556 NODLA  32.891667   54.980556 1 170 600 G202
NODLA  32.891667   54.980556 ORSOK  32.917222   55.758889 1 170 600 G202
ORSOK  32.917222   55.758889 IMSOG  32.943333   56.780278 1 170 600 G202
IMSOG  32.943333   56.780278 VEGUN  32.959444   57.667500 1 170 600 G202
VEGUN  32.959444   57.667500 ROSOS  32.970833   58.803889 1 170 600 G202
ROSOS  32.970833   58.803889 BJD    32.972222   59.200000 1 170 600 G202
BJD    32.972222   59.200000 KAMAR  32.650000   60.733333 1 170 600 G202
ALRAM  37.708333   44.626667 UMH    37.687222   45.084167 1 160 600 G208
UMH    37.687222   45.084167 TOTBO  37.581944   45.482778 1 200 600 G208
TOTBO  37.581944   45.482778 OTENA  37.525833   45.692778 1 200 600 G208
OTENA  37.525833   45.692778 GETOB  37.207500   46.858056 1 200 600 G208
