I
610 Version - Iran FIR custom (from AIP, generated)
  34.043056   51.203611 GOLSO
  36.099167   48.678889 GONVA
  36.215556   50.623333 GOPKA
  35.209444   48.658611 HAB
  29.291389   52.745278 HAFEZ
  34.866667   48.550278 HAM
  29.433611   50.004722 IBKUG
  26.274722   54.195278 IBNUX
  36.344722   55.908333 IBRAV
  30.108611   48.735000 IBSAL
  35.409444   51.178333 IKA
  33.578333   46.415278 ILM
  27.683333   51.183333 IMDAT
  36.253056   53.703056 IMDUX
  30.238611   51.513889 IMGOD
  31.735278   49.603056 IMKEN
  36.660556   51.877500 IMKER
  34.933889   57.229444 IMKUK
  35.200000   51.066667 IMLIM
  25.286944   57.133333 IMLOT
  26.493333   53.016944 IMLUV
  32.414167   58.148889 IMPAT
  36.832778   53.979444 IMPIR
  32.861667   51.278611 IMRAG
  32.943333   56.780278 IMSOG
  32.746944   51.827778 ISN
  27.234167   60.722222 ISR
  29.607778   60.341667 ITBIR
  35.592778   55.014444 ITELO
  31.580833   49.275278 ITIBI
  35.351944   51.460556 ITKOB
  36.124722   54.470000 ITMEL
  33.810000   52.506389 ITMOV
  29.671667   51.952222 ITSIM
  38.576667   48.038889 ITUPA
  34.583056   48.497778 IVELI
  29.384167   51.261111 IVERA
  35.561111   51.444722 IVIGO
  24.995833   57.832778 IVIVA
  25.651389   57.783333 JSK
  32.650000   60.733333 KAMAR
  37.422222   45.334444 KAPES
  26.722778   52.234167 KAPIP
  30.535000   61.120278 KAPUR
  28.529722   53.259167 KASOL
  28.396111   52.311389 KATAG
  28.944167   51.441389 KATUR
  25.266667   57.783333 KATUS
  26.960278   51.971667 KAVAM
  26.268889   55.409444 KAVEG
  33.380278   53.637222 KAVEK
  29.805556   51.284444 KAVIL
  30.686389   52.322778 KAVOT
  35.081667   47.670556 KEBEP
  27.597778   62.840000 KEBUD
  30.282778   56.942222 KER
  29.263889   50.316667 KHG
  26.763056   55.907500 KHM
  38.433611   44.966111 KHY
  36.465278   48.795278 KILO
  30.535278   53.291944 KINOT
  25.162500   60.161667 KINOX
  26.528889   53.953611 KIS
  30.305556   51.574444 KISED
  31.154722   50.416389 KIXOB
  37.388056   55.456389 KLH
  34.339722   47.168889 KMS
  37.105833   50.175278 KOBUB
  33.434167   48.291667 KRD
  29.129722   51.338889 KUGVU
  28.405000   52.908889 KUPTO
  37.214167   54.592222 KUREL
  31.573889   58.963056 KUVAV
  28.156944   50.100000 KUVER
  36.163889   53.024167 LABET
  36.695000   50.728333 LABKA
  32.810833   53.014722 LABOT
  32.373889   52.928611 LADAL
  26.891944   59.420556 LADPA
  28.551667   52.348889 LAGSA
  37.625000   45.921944 LAKLI
  38.270833   49.753056 LALDA
  27.372778   53.183889 LAM
  27.675000   54.415000 LAR
  26.536111   54.851111 LEN
  26.316944   53.553333 LEVNA
  35.583333   51.671389 LOPAR
  28.105556   54.725278 LORIX
  35.340278   59.093333 LOSAN
  36.657222   55.565278 LOVEN
  35.127778   47.478056 LOVID
  31.748333   51.728889 LOXAK
  35.070833   49.266944 LOXAM
  35.981667   58.102500 LOXED
  27.765556   60.760556 LOXOL
  36.611111   48.828333 LOXUB
  29.949444   60.683611 LUDAX
  37.270000   44.823333 LUMOM
  26.811944   53.355833 LVA
  38.902222   46.383333 MAGRI
  30.556111   49.149444 MAH
  26.773611   57.383333 MELMI
  29.520278   50.105000 MEMPI
  25.831944   55.089444 MENDI
  24.804722   59.844444 MESPO
  31.182500   50.001667 MESVI
  24.932222   61.471111 METBI
  37.095278   59.023333 MIDMO
  26.695000   51.911667 MIDSI
  33.466944   47.895556 MIPON
